x_value,total_1,total_2
0,1000,1000
1,1002,1003
2,1002,998
3,1000,995
4,996,999
5,1001,998
6,1000,996
7,998,993
8,1001,997
9,1009,998
10,1009,999
11,1011,995
12,1016,997
13,1020,1001
14,1026,1000
15,1021,1004
16,1024,1006
17,1022,1005
18,1021,1006
19,1021,1008
20,1022,1008
21,1030,1013
22,1031,1010
23,1037,1016
24,1042,1011
25,1037,1006
26,1040,1012
27,1037,1013
28,1045,1017
29,1042,1016
30,1040,1015
31,1048,1014
32,1051,1009
33,1058,1012
34,1066,1009
35,1070,1009
36,1071,1015
37,1069,1012
38,1065,1017
39,1060,1015
40,1067,1018
41,1073,1017
42,1069,1020
43,1069,1022
44,1067,1026
45,1064,1023
46,1069,1025
47,1072,1031
48,1076,1032
